value,label
AXL,AXL
A1CF,A1CF
ABCG1,ABCG1
ABHD11,ABHD11
AC002472.1,AC002472.1
AC006014.1,AC006014.1
AC006116.21,AC006116.21
AC006946.15,AC006946.15
AC007431.1,AC007431.1
AC008132.1,AC008132.1
AC023590.1,AC023590.1
AC040160.1,AC040160.1
AC073236.3,AC073236.3
AC074138.3,AC074138.3
AC092811.1,AC092811.1
AC099552.4,AC099552.4
AC129492.6,AC129492.6
ACMSD,ACMSD
ACN9,ACN9
ACOT6,ACOT6
ACSBG2,ACSBG2
ACSM1,ACSM1
ACSM2A,ACSM2A
ACTB,ACTB
ADAMTS10,ADAMTS10
ADAMTS12,ADAMTS12
ADD2,ADD2
ADH7,ADH7
ADM,ADM
ADRB3,ADRB3
AE000659.41.1,AE000659.41.1
AF146191.4,AF146191.4
AFF4,AFF4
AGAP5,AGAP5
AGBL4,AGBL4
AGPAT9,AGPAT9
AIM1,AIM1
AK4,AK4
AKR1D1,AKR1D1
AL136531.1,AL136531.1
AL163636.6,AL163636.6
AL591806.1,AL591806.1
AL603965.1,AL603965.1
AL645608.2,AL645608.2
AL645730.2,AL645730.2
ALDH3A2,ALDH3A2
ALDOA,ALDOA
ALG10,ALG10
ALG10B,ALG10B
ALG11,ALG11
ALOX12B,ALOX12B
ALOXE3,ALOXE3
ALYREF,ALYREF
ANG,ANG
ANKRD11,ANKRD11
ANKRD16,ANKRD16
ANKRD53,ANKRD53
ANKS1A,ANKS1A
ANKZF1,ANKZF1
ANXA2,ANXA2
ANXA8L2,ANXA8L2
AP000469.2,AP000469.2
AP001465.5.1,AP001465.5.1
AP003733.1,AP003733.1
AP2A1,AP2A1
AP3D1,AP3D1
APC,APC
APEX1,APEX1
API5,API5
APMAP,APMAP
APOH,APOH
AQP7,AQP7
ARHGAP20,ARHGAP20
ARHGEF18,ARHGEF18
ARHGEF3,ARHGEF3
ARHGEF35,ARHGEF35
ARL14EP,ARL14EP
ARL6IP4,ARL6IP4
ARPC5,ARPC5
ARRDC2,ARRDC2
ASMTL,ASMTL
ASPSCR1,ASPSCR1
ASXL2,ASXL2
ATAD2,ATAD2
ATAD3B,ATAD3B
ATG4B,ATG4B
ATP10D,ATP10D
ATP11C,ATP11C
ATP13A3,ATP13A3
ATP13A4,ATP13A4
ATP1A1,ATP1A1
ATP6V1H,ATP6V1H
AZGP1,AZGP1
B3GALT6,B3GALT6
B3GNT3,B3GNT3
B4GALT2,B4GALT2
BAG4,BAG4
BCAR4,BCAR4
BCL11B,BCL11B
BCL2,BCL2
BCL2L1,BCL2L1
BCL2L11,BCL2L11
BCL2L14,BCL2L14
BCL6,BCL6
BCL7A,BCL7A
BCLAF1,BCLAF1
BLCAP,BLCAP
BMP4,BMP4
BORA,BORA
BRDT,BRDT
BTG4,BTG4
C11orf10,C11orf10
C11orf35,C11orf35
C11orf89,C11orf89
C12orf43,C12orf43
C12orf54,C12orf54
C13orf35,C13orf35
C14orf2,C14orf2
C16orf13,C16orf13
C16orf59,C16orf59
C16orf91,C16orf91
C17orf100,C17orf100
C17orf62,C17orf62
C19orf22,C19orf22
C19orf53,C19orf53
C19orf70,C19orf70
C1orf159,C1orf159
C1orf185,C1orf185
C1orf186,C1orf186
C1orf194,C1orf194
C21orf119,C21orf119
C22orf34,C22orf34
C2CD3,C2CD3
C2orf62,C2orf62
C4BPB,C4BPB
C4orf27,C4orf27
C4orf32,C4orf32
C6orf100,C6orf100
C6orf62,C6orf62
C7,C7
C7orf33,C7orf33
C7orf50,C7orf50
C7orf55,C7orf55
C8orf37,C8orf37
C8orf44,C8orf44
C8orf44-SGK3,C8orf44-SGK3
C9orf114,C9orf114
CA4,CA4
CABLES2,CABLES2
CACNA1C,CACNA1C
CADM2,CADM2
CALCB,CALCB
CALCOCO1,CALCOCO1
CALM1,CALM1
CAMTA1,CAMTA1
CANX,CANX
CAPN13,CAPN13
CASC17,CASC17
CAST,CAST
CBWD1,CBWD1
CBWD2,CBWD2
CBX6,CBX6
CCDC107,CCDC107
CCDC124,CCDC124
CCDC129,CCDC129
CCDC144A,CCDC144A
CCDC177,CCDC177
CCDC41,CCDC41
CCDC66,CCDC66
CCDC77,CCDC77
CCDC9,CCDC9
CCDC94,CCDC94
CCDC97,CCDC97
CCK,CCK
CCL26,CCL26
CCNB1IP1,CCNB1IP1
CCP110,CCP110
CD1A,CD1A
CD2BP2,CD2BP2
CD46,CD46
CD55,CD55
CD86,CD86
CD93,CD93
CDC20,CDC20
CDC23,CDC23
CDC37,CDC37
CDC37L1,CDC37L1
CDH10,CDH10
CDH16,CDH16
CDH18,CDH18
CDH8,CDH8
CDKN1A,CDKN1A
CDKN1B,CDKN1B
CDKN2D,CDKN2D
CDO1,CDO1
CECR6,CECR6
CELF1,CELF1
CENPN,CENPN
CEP170,CEP170
CFH,CFH
CFLAR,CFLAR
CGB2,CGB2
CGB5,CGB5
CHAF1B,CHAF1B
CHCHD2,CHCHD2
CHDH,CHDH
CHFR,CHFR
CHMP3,CHMP3
CITED2,CITED2
CLDN20,CLDN20
CLIC5,CLIC5
CNDP2,CNDP2
CNOT3,CNOT3
CNR1,CNR1
CNTN1,CNTN1
CNTNAP5,CNTNAP5
COL11A1,COL11A1
COL21A1,COL21A1
COL4A2,COL4A2
COQ10B,COQ10B
COQ2,COQ2
COX7C,COX7C
CPN2,CPN2
CPNE5,CPNE5
CPSF7,CPSF7
CR1,CR1
CRBN,CRBN
CRELD2,CRELD2
CRMP1,CRMP1
CRNKL1,CRNKL1
CROCCP2,CROCCP2
CRP,CRP
CRYGD,CRYGD
CSDE1,CSDE1
CSMD1,CSMD1
CSMD3,CSMD3
CSNK1A1L,CSNK1A1L
CSTF2,CSTF2
CTB-43E15.4,CTB-43E15.4
CTBP1,CTBP1
CTD-2291D10.3,CTD-2291D10.3
CTD-2384A14.2,CTD-2384A14.2
CTD-2619J13.14,CTD-2619J13.14
CTNNA2,CTNNA2
CTNNB1,CTNNB1
CTRL,CTRL
CUL1,CUL1
CYLD,CYLD
CYP2A13,CYP2A13
CYP2S1,CYP2S1
CYP4A11,CYP4A11
CYP4F2,CYP4F2
CYP4F31P,CYP4F31P
CYS1,CYS1
CYTH2,CYTH2
DCAF15,DCAF15
DCTN4,DCTN4
DDIT3,DDIT3
DDX27,DDX27
DDX3X,DDX3X
DEFB116,DEFB116
DEPDC4,DEPDC4
DERL1,DERL1
DGKB,DGKB
DGKI,DGKI
DHRS1,DHRS1
DHX16,DHX16
DHX32,DHX32
DHX9,DHX9
DIAPH1,DIAPH1
DIO2,DIO2
DIRC1,DIRC1
DISP1,DISP1
DLG2,DLG2
DLGAP5,DLGAP5
DLX4,DLX4
DMD,DMD
DNAH12,DNAH12
DNAH9,DNAH9
DNAJA2,DNAJA2
DNAJC28,DNAJC28
DPH3,DPH3
DPM2,DPM2
DPPA4,DPPA4
DRD5,DRD5
DTL,DTL
ECE1,ECE1
ECT2,ECT2
EDDM3A,EDDM3A
EDDM3B,EDDM3B
EEF1A1,EEF1A1
EEF2K,EEF2K
EGR1,EGR1
EHF,EHF
EIF1,EIF1
EIF3G,EIF3G
EIF4A2,EIF4A2
EIF4EBP2,EIF4EBP2
EIF4G1,EIF4G1
EIF4G3,EIF4G3
ELMO1,ELMO1
ELOVL3,ELOVL3
EN1,EN1
EPB41L3,EPB41L3
EPHA5,EPHA5
EPS8L1,EPS8L1
ERGIC3,ERGIC3
ERLIN2,ERLIN2
ESR1,ESR1
ETF1,ETF1
ETS1,ETS1
ETV6,ETV6
EVI2A,EVI2A
EXOC4,EXOC4
EXOC5,EXOC5
EXOC7,EXOC7
